id name Rista Advanced
id author Developer
uciok
info string Move b7c6 score -165
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30130
DEBUG: evaluate returned crazy score! stand_pat=30135
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30000
DEBUG: evaluate returned crazy score! stand_pat=30170
DEBUG: evaluate returned crazy score! stand_pat=30290
DEBUG: evaluate returned crazy score! stand_pat=30295
DEBUG: evaluate returned crazy score! stand_pat=30300
DEBUG: evaluate returned crazy score! stand_pat=30300
DEBUG: evaluate returned crazy score! stand_pat=30290
DEBUG: evaluate returned crazy score! stand_pat=30280
DEBUG: evaluate returned crazy score! stand_pat=30280
DEBUG: evaluate returned crazy score! stand_pat=30285
DEBUG: evaluate returned crazy score! stand_pat=30300
DEBUG: evaluate returned crazy score! stand_pat=30300
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30300
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30345
DEBUG: evaluate returned crazy score! stand_pat=30300
DEBUG: evaluate returned crazy score! stand_pat=30295
DEBUG: evaluate returned crazy score! stand_pat=30290
DEBUG: evaluate returned crazy score! stand_pat=30285
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30295
DEBUG: evaluate returned crazy score! stand_pat=30270
DEBUG: evaluate returned crazy score! stand_pat=30320
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30115
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30165
DEBUG: evaluate returned crazy score! stand_pat=30155
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30140
DEBUG: evaluate returned crazy score! stand_pat=30145
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30160
DEBUG: evaluate returned crazy score! stand_pat=30110
DEBUG: evaluate returned crazy score! stand_pat=30150
DEBUG: evaluate returned crazy score! stand_pat=30180
